ID,Attache de la feuille: Pétiolée,Attache de la feuille: Sessile,Composition du limbe: Composée,Composition du limbe: Simple,Consistance du péricarpe: Charnu,Consistance du péricarpe: Sec,Couleur du latex/sève: Blanc,Couleur du latex/sève: Incolore,Couleur du latex/sève: Jaune/Orange,Couleur du latex/sève: Rouge,Dimensions des feuilles: largeur,Dimensions des feuilles: longueur,Durée de vie: Annuelle,Durée de vie: Bisannuelle,Durée de vie: Vivace / Pluriannuelle,Déhiscence du fruit sec: Déhiscent,Déhiscence du fruit sec: Indéhiscent,Forme de la base du limbe: Arrondie,Forme de la base du limbe: Cordée,Forme de la base du limbe: Cunéiforme,Forme de la corolle zygomorphe: Bilabiée,Forme de la corolle zygomorphe: Papilionacée,Forme du fût: Cannelé,Forme du fût: Côtelé,Forme du fût: Droit,Forme du fût: Tordu,Marge du limbe: Crénelée,Marge du limbe: Dentée,Marge du limbe: Entière,Marge du limbe: Lobée,Marge du limbe: Serrée,Mode de grimpe: Aiguillons / Crochets,Mode de grimpe: Crampons / Racines adventives,Mode de grimpe: Tige volubile,Mode de grimpe: Vrilles,Nervation principale: Palmée,Nervation principale: Parallèle,Nervation principale: Pennée (Nervation),Odeur des feuilles froissées: Aromatique,Odeur des feuilles froissées: Citronnée,Odeur des feuilles froissées: Fétide,Persistance du feuillage: Caduque / Décidu,Persistance du feuillage: Marcescent,Persistance du feuillage: Persistant / Sempervirent,Phyllotaxie des feuilles: Alterne,Phyllotaxie des feuilles: En rosette,Phyllotaxie des feuilles: Opposée,Phyllotaxie des feuilles: Verticillée,Port: Arbre,Port: Arbuste,Port: Herbe,Port: Liane,Port: Sous-arbrisseau,Position de l'ovaire: Infère,Position de l'ovaire: Semi-infère,Position de l'ovaire: Supère,Préférence lumineuse: Héliophile,Préférence lumineuse: Hémisciaphile,Préférence lumineuse: Sciaphile,Soudure des pétales (Corolle): Dialypétale (pétales libres),Soudure des pétales (Corolle): Gamopétale (pétales soudés),Soudure des étamines: Diadelphe,Soudure des étamines: Libres,Soudure des étamines: Monadelphe,Statut d'invasion: Cultivée uniquement,Statut d'invasion: Invasive / Envahissante,Statut d'invasion: Naturalisée,Statut de l'espèce: Indigène,Statut de l'espèce: Introduite,Symétrie de la base du limbe: Asymétrique,Symétrie de la base du limbe: Symétrique,Symétrie florale: Actinomorphe,Symétrie florale: Zygomorphe,Texture de l'écorce: Avec protubérances/épines,Texture de l'écorce: Fissurée,Texture de l'écorce: Lisse,Texture de l'écorce: Liégeuse,Texture de l'écorce: S'exfoliant en plaques/lanières,Texture de l'écorce: Écailleuse,Texture de la tranche: Fibreuse,Texture de la tranche: Granuleuse / Cassante,Type (Présence) d'annexes sur la graine: Aigrette/Pappus,Type (Présence) d'annexes sur la graine: Aile,Type (Présence) d'annexes sur la graine: Arille,Type Biologique (Raunkiær): Chaméphyte,Type Biologique (Raunkiær): Géophyte,Type Biologique (Raunkiær): Hydrophyte / Hélophyte,Type Biologique (Raunkiær): Hémicryptophyte,Type Biologique (Raunkiær): Phanérophyte,Type Biologique (Raunkiær): Thérophyte,Type d'exsudat: Gomme,Type d'exsudat: Latex,Type d'exsudat: Sève aqueuse,Type d'exsudat: Sève résineuse,Type d'inflorescence: Capitule,Type d'inflorescence: Grappe/Panicule/Cyme,Type d'inflorescence: Ombelle,Type d'inflorescence: Épi,Type d'organe de réserve: Bulbe,Type d'organe de réserve: Rhizome,Type d'organe de réserve: Tubercule,Type de feuille composée: Bipennée,Type de feuille composée: Digitée,Type de feuille composée: Pennée,Type de feuille composée: Trifoliolée,Type de floraison: Fleur solitaire,Type de floraison: Inflorescence,Type de fruit: Akène,Type de fruit: Baie,Type de fruit: Capsule,Type de fruit: Drupe,Type de fruit: Gousse (légume),Type de fruit: Samare,Type de système racinaire: Fasciculé,Type de système racinaire: Pivotant,Usage principal: Alimentaire,Usage principal: Médicinal,Usage principal: Ornemental
Anthocleista vogelii,present,absent,absent,present,present,absent,inapplicable,inapplicable,inapplicable,inapplicable,~30 cm,>100 cm,absent,absent,present,inapplicable,inapplicable,absent,absent,present,inapplicable,inapplicable,absent,absent,present,absent,absent,absent,present,absent,absent,inapplicable,inapplicable,inapplicable,inapplicable,absent,absent,present,absent,absent,absent,absent,absent,present,absent,absent,present,absent,present,absent,absent,absent,absent,absent,absent,present,present,absent,absent,absent,present,absent,present,absent,inapplicable,inapplicable,inapplicable,present,absent,absent,present,present,absent,present,absent,present,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,inapplicable,inapplicable,inapplicable,inapplicable,absent,present,absent,absent,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,absent,present,absent,present,absent,absent,absent,absent,absent,present,absent,present,absent
Anthonotha fragrans,present,absent,present,absent,absent,present,inapplicable,inapplicable,inapplicable,inapplicable,unknown,unknown,absent,absent,present,present,absent,present,absent,absent,inapplicable,inapplicable,absent,absent,present,absent,absent,absent,present,absent,absent,inapplicable,inapplicable,inapplicable,inapplicable,absent,absent,present,absent,absent,absent,absent,absent,present,present,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,present,present,absent,absent,present,absent,absent,present,absent,inapplicable,inapplicable,inapplicable,present,absent,present,absent,absent,present,absent,absent,present,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,inapplicable,inapplicable,inapplicable,inapplicable,absent,present,absent,absent,inapplicable,inapplicable,inapplicable,absent,absent,present,absent,absent,present,absent,absent,absent,absent,present,absent,absent,present,present,present,absent
Anthonotha macrophylla,present,absent,present,absent,absent,present,inapplicable,inapplicable,inapplicable,inapplicable,unknown,~25 cm,absent,absent,present,present,absent,present,absent,absent,inapplicable,inapplicable,absent,absent,present,absent,absent,absent,present,absent,absent,inapplicable,inapplicable,inapplicable,inapplicable,absent,absent,present,absent,absent,absent,absent,absent,present,present,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,present,present,absent,absent,present,absent,absent,present,absent,inapplicable,inapplicable,inapplicable,present,absent,present,absent,absent,present,absent,absent,present,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,inapplicable,inapplicable,inapplicable,inapplicable,absent,present,absent,absent,inapplicable,inapplicable,inapplicable,absent,absent,present,absent,absent,present,absent,absent,absent,absent,present,absent,absent,present,present,present,absent
Anthostema aubryanum,present,absent,absent,present,absent,present,present,absent,absent,absent,4-8 cm,10-20 cm,absent,absent,present,present,absent,absent,absent,present,inapplicable,inapplicable,absent,absent,present,absent,absent,absent,present,absent,absent,inapplicable,inapplicable,inapplicable,inapplicable,absent,absent,present,absent,absent,absent,absent,absent,present,absent,absent,present,absent,present,absent,absent,absent,absent,absent,absent,present,present,absent,absent,inapplicable,inapplicable,absent,present,absent,inapplicable,inapplicable,inapplicable,present,absent,absent,present,inapplicable,inapplicable,absent,absent,present,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,absent,present,absent,absent,absent,present,absent,absent,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,absent,present,absent,absent,present,absent,absent,absent,absent,present,absent,present,absent
Antiaris toxicaria,present,absent,absent,present,present,absent,present,absent,absent,absent,5-12 cm,10-25 cm,absent,absent,present,inapplicable,inapplicable,present,absent,absent,inapplicable,inapplicable,absent,absent,present,absent,absent,absent,present,absent,absent,inapplicable,inapplicable,inapplicable,inapplicable,absent,absent,present,absent,absent,absent,present,absent,absent,present,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,present,present,absent,absent,inapplicable,inapplicable,absent,present,absent,inapplicable,inapplicable,inapplicable,present,absent,present,absent,present,absent,absent,present,present,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,absent,present,absent,absent,absent,absent,absent,present,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,absent,present,absent,present,absent,absent,absent,absent,absent,present,present,present,absent
Antidesma membranaceum,present,absent,absent,present,present,absent,inapplicable,inapplicable,inapplicable,inapplicable,3-8 cm,5-15 cm,absent,absent,present,inapplicable,inapplicable,absent,absent,present,inapplicable,inapplicable,absent,absent,present,absent,absent,absent,present,absent,absent,inapplicable,inapplicable,inapplicable,inapplicable,absent,absent,present,absent,absent,absent,absent,absent,present,present,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,present,present,absent,absent,inapplicable,inapplicable,absent,present,absent,inapplicable,inapplicable,inapplicable,present,absent,absent,present,present,absent,absent,absent,present,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,inapplicable,inapplicable,inapplicable,inapplicable,absent,absent,absent,present,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,absent,present,absent,absent,absent,present,absent,absent,absent,present,present,present,absent
Antrocaryon micraster,present,absent,present,absent,present,absent,absent,present,absent,absent,unknown,20-40 cm,absent,absent,present,inapplicable,inapplicable,absent,absent,present,inapplicable,inapplicable,absent,absent,present,absent,absent,absent,present,absent,absent,inapplicable,inapplicable,inapplicable,inapplicable,absent,absent,present,present,absent,absent,present,absent,absent,present,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,present,present,absent,absent,present,absent,absent,present,absent,inapplicable,inapplicable,inapplicable,present,absent,present,absent,present,absent,absent,present,present,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,present,absent,absent,absent,absent,present,absent,absent,inapplicable,inapplicable,inapplicable,absent,absent,present,absent,absent,present,absent,absent,absent,present,absent,absent,absent,present,present,present,absent
Aptandra zenkeri,present,absent,absent,present,present,absent,inapplicable,inapplicable,inapplicable,inapplicable,2-6 cm,5-12 cm,absent,absent,present,inapplicable,inapplicable,absent,absent,present,inapplicable,inapplicable,absent,absent,present,absent,absent,absent,present,absent,absent,inapplicable,inapplicable,inapplicable,inapplicable,absent,absent,present,absent,absent,absent,absent,absent,present,present,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,present,present,absent,absent,present,absent,absent,present,absent,inapplicable,inapplicable,inapplicable,present,absent,absent,present,present,absent,absent,absent,present,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,inapplicable,inapplicable,inapplicable,inapplicable,absent,present,absent,absent,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,absent,present,absent,absent,absent,present,absent,absent,absent,present,present,present,absent
Araliopsis soyauxii,present,absent,present,absent,absent,present,inapplicable,inapplicable,inapplicable,inapplicable,unknown,unknown,absent,absent,present,present,absent,absent,absent,present,inapplicable,inapplicable,absent,absent,present,absent,absent,absent,present,absent,absent,inapplicable,inapplicable,inapplicable,inapplicable,absent,absent,present,present,present,absent,absent,absent,present,present,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,present,present,absent,absent,present,absent,absent,present,absent,inapplicable,inapplicable,inapplicable,present,absent,absent,present,present,absent,absent,absent,present,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,inapplicable,inapplicable,inapplicable,inapplicable,absent,present,absent,absent,inapplicable,inapplicable,inapplicable,absent,present,absent,present,absent,present,absent,absent,absent,absent,absent,present,absent,present,present,present,absent
Aulacocalyx jasminiflora,present,absent,absent,present,present,absent,inapplicable,inapplicable,inapplicable,inapplicable,3-7 cm,8-15 cm,absent,absent,present,inapplicable,inapplicable,absent,absent,present,inapplicable,inapplicable,absent,absent,present,absent,absent,absent,present,absent,absent,inapplicable,inapplicable,inapplicable,inapplicable,absent,absent,present,present,absent,absent,absent,absent,present,absent,absent,present,absent,absent,present,absent,absent,absent,present,absent,absent,absent,absent,present,absent,present,absent,present,absent,inapplicable,inapplicable,inapplicable,present,absent,absent,present,present,absent,absent,absent,present,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,inapplicable,inapplicable,inapplicable,inapplicable,absent,present,absent,absent,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,absent,present,absent,present,absent,absent,absent,absent,absent,present,present,present,absent
Azadirachta indica,present,absent,present,absent,present,absent,absent,present,absent,absent,unknown,20-40 cm,absent,absent,present,inapplicable,inapplicable,absent,absent,present,inapplicable,inapplicable,absent,absent,present,absent,absent,absent,absent,absent,present,inapplicable,inapplicable,inapplicable,inapplicable,absent,absent,present,present,absent,absent,absent,absent,present,present,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,present,present,absent,absent,present,absent,absent,absent,present,absent,absent,present,absent,present,present,absent,present,absent,absent,present,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,present,absent,absent,absent,absent,present,absent,absent,inapplicable,inapplicable,inapplicable,absent,absent,present,absent,absent,present,absent,absent,absent,present,absent,absent,absent,present,absent,present,present
Bambusa vulgaris,absent,present,absent,present,absent,present,inapplicable,inapplicable,inapplicable,inapplicable,2-4 cm,15-30 cm,absent,absent,present,absent,present,absent,absent,present,inapplicable,inapplicable,absent,absent,present,absent,absent,absent,present,absent,absent,inapplicable,inapplicable,inapplicable,inapplicable,absent,present,absent,absent,absent,absent,absent,absent,present,present,absent,absent,absent,absent,absent,present,absent,absent,absent,absent,present,present,absent,absent,inapplicable,inapplicable,absent,present,absent,absent,present,present,absent,present,absent,present,inapplicable,inapplicable,absent,absent,present,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,present,absent,absent,inapplicable,inapplicable,inapplicable,inapplicable,absent,present,absent,absent,absent,present,absent,inapplicable,inapplicable,inapplicable,inapplicable,absent,present,present,absent,absent,absent,absent,absent,present,absent,present,present,present
Baphia nitida,present,absent,absent,present,absent,present,inapplicable,inapplicable,inapplicable,inapplicable,2-7 cm,5-15 cm,absent,absent,present,present,absent,present,absent,absent,absent,present,absent,absent,absent,present,absent,absent,present,absent,absent,inapplicable,inapplicable,inapplicable,inapplicable,absent,absent,present,absent,absent,absent,absent,absent,present,present,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,present,absent,present,absent,present,absent,absent,present,absent,inapplicable,inapplicable,inapplicable,present,absent,absent,present,absent,present,absent,present,present,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,inapplicable,inapplicable,inapplicable,inapplicable,absent,present,absent,absent,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,absent,present,absent,absent,absent,absent,present,absent,absent,present,present,present,absent
Beilschmiedia bitehi,present,absent,absent,present,present,absent,inapplicable,inapplicable,inapplicable,inapplicable,3-7 cm,6-15 cm,absent,absent,present,inapplicable,inapplicable,absent,absent,present,inapplicable,inapplicable,absent,absent,present,absent,absent,absent,present,absent,absent,inapplicable,inapplicable,inapplicable,inapplicable,absent,absent,present,present,absent,absent,absent,absent,present,absent,absent,present,absent,present,absent,absent,absent,absent,absent,absent,present,absent,absent,present,inapplicable,inapplicable,absent,present,absent,inapplicable,inapplicable,inapplicable,present,absent,absent,present,present,absent,absent,absent,present,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,present,absent,inapplicable,inapplicable,inapplicable,inapplicable,absent,present,absent,absent,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,absent,present,absent,absent,absent,present,absent,absent,absent,present,present,present,absent
